,Land,Breite Land,Länge Land,Anzahl Land,GeoData,Latitude,Longitude
0,Belgien,"50,634139","4,698725",626.0,België / Belgique / Belgien,50.6402809,4.6667145
14,Dänemark,"55,987194"," 10,108806",1.0,Danmark,55.670249,10.3333283
16,Deutschland,"51,569028","14,376611",1224.0,Deutschland,51.0834196,10.4234469
90,Frankreich,"46,499389","2,594333",47.0,France,46.603354,1.8883335
98,Griechenland,"38,484194","22,502444",12.0,Ελλάδα,38.9953683,21.9877132
101,Italien,"42,398444","12,984028",5.0,Italia,42.6384261,12.674297
103,Kroatien,"44,487139","16,513722",6.0,Hrvatska,45.5643442,17.0118954
107,Lettland,"56,863000","24,560861",183.0,Latvija,56.8406494,24.7537645
116,Niederlande,"52,088778","5,616444",42.0,Nederland,52.5001698,5.7480821
120,Norwegen,"64,014861","11,495417",8.0,"Norge, 8100, Hamningberg, Båtsfjord, Troms og Finnmark, Norge",64.5731537,11.52803643954819
122,Österreich,"47,542444","14,107528",439.0,Österreich,47.2000338,13.199959
137,Polen,"52,068750","19,479667",2703.0,Polska,52.215933,19.134422
194,Schweiz,"46,798556","8,231806",1.0,Schweiz/Suisse/Svizzera/Svizra,46.7985624,8.2319736
196,Serbien,"44,398472","20,918250
",2.0,"Србија, 35, Нови Сип, Општина Кладово, Борски управни округ, Централна Србија, Србија (Serbia)",44.024322850000004,21.07657433209902
198,Slowakei,"48,723556","19,242972",18.0,Slovensko,48.7411522,19.4528646
200,Slowenien,"46,120500","14,815694",28.0,Slovenija,45.8133113,14.4808369
203,Russland,"55,l694361","34,227528",8.0,Россия,64.6863136,97.7453061
205,Tschechien,"49,741083","15,334917",151.0,Česko,49.8167003,15.4749544
230,Ukraine,"48,387278","31,176750",7.0,Україна,49.4871968,31.2718321
232,Ungarn ,"47,169083","19,501528",1.0,Magyarország,47.1817585,19.5060937
234,Weißrussland,"43,149833","26,160361
",4.0,Беларусь,53.4250605,27.6971358
236,Europa,"53,595667","23,114611",14.0,Europa,51.0,10.0
